pH,Sand (%),Silt (%),Clay (%),Soil Organic Carbon (%),CEC (cmol/kg),Total Nitrogen (%),Moisture content (%),Y
4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,1.95
4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,1.43
4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,1.65
4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,2.25
4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,2.51
4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,2.34
4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,2.78
4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,3.29
4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,3.7
4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,5
4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,5
4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,4.63
4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,5.87
4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,6.52
4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,7.26
4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,7.2
4.88,18.95,45.1,35.95,0.64,10.07,0.091,1.73,7.76
8.08,6.06,61.15,32.79,0.83,15.34,0.065,3.8,1.9
8.08,6.06,61.15,32.79,0.83,15.34,0.065,3.8,1.43
8.08,6.06,61.15,32.79,0.83,15.34,0.065,3.8,1.55
8.08,6.06,61.15,32.79,0.83,15.34,0.065,3.8,2.22
8.08,6.06,61.15,32.79,0.83,15.34,0.065,3.8,2.48
8.08,6.06,61.15,32.79,0.83,15.34,0.065,3.8,2.25
8.08,6.06,61.15,32.79,0.83,15.34,0.065,3.8,2.77
8.08,6.06,61.15,32.79,0.83,15.34,0.065,3.8,3.23
8.08,6.06,61.15,32.79,0.83,15.34,0.065,3.8,3.61
8.08,6.06,61.15,32.79,0.83,15.34,0.065,3.8,4.95
8.08,6.06,61.15,32.79,0.83,15.34,0.065,3.8,5.13
8.08,6.06,61.15,32.79,0.83,15.34,0.065,3.8,4.59
8.08,6.06,61.15,32.79,0.83,15.34,0.065,3.8,5.8
8.08,6.06,61.15,32.79,0.83,15.34,0.065,3.8,6.52
8.08,6.06,61.15,32.79,0.83,15.34,0.065,3.8,7.19
8.08,6.06,61.15,32.79,0.83,15.34,0.065,3.8,7.2
8.08,6.06,61.15,32.79,0.83,15.34,0.065,3.8,7.529
7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,2.05
7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,1.62
7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,2.08
7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,2.73
7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,2.82
7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,2.89
7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,3.23
7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,3.61
7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,3.8
7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,4.93
7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,5.11
7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,4.5
7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,5.67
7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,6.5
7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,7.18
7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,6.94
7.87,11.85,28.35,59.8,2.91,17.88,0.032,3.52,7.41
